,Scar1,Scar2,cellCount1,cellCount2
0,337:46M8D29M,46:46M2D29M,22,23
1,28:44M9D31M,361:50M7I18M,99,96
2,28:44M9D31M,6:47M3I25M,99,40
3,28:44M9D31M,779:34S41M,99,78
4,361:50M7I18M,6:47M3I25M,96,40
5,361:50M7I18M,779:34S41M,96,78
6,6:47M3I25M,779:34S41M,40,78
7,22:49M2D26M,337:46M8D29M,11,22
8,11:43M7D32M,13:46M6D29M,33,171
9,104:27M22D48M,432:39M2D5M1I30M,26,12
10,1039:51M24S,23:30M20D45M,38,31
11,1039:51M24S,13:46M6D29M,38,171
12,1466:44M31S,44:44M3D31M,53,86
13,1033:51M1I23M,32:75M,105,157
14,1033:51M1I23M,370:46M6I23M,105,45
15,1033:51M1I23M,624:43M1I4M3D27M,105,59
16,32:75M,370:46M6I23M,157,45
17,32:75M,624:43M1I4M3D27M,157,59
18,370:46M6I23M,624:43M1I4M3D27M,45,59
19,1039:51M24S,104:27M22D48M,38,26
20,1039:51M24S,1910:47M6D28M,38,1
21,1039:51M24S,432:39M2D5M1I30M,38,12
22,104:27M22D48M,1910:47M6D28M,26,1
23,104:27M22D48M,23:30M20D45M,26,31
24,1910:47M6D28M,23:30M20D45M,1,31
25,1910:47M6D28M,432:39M2D5M1I30M,1,12
26,23:30M20D45M,432:39M2D5M1I30M,31,12
27,1033:51M1I23M,1202:49M26S,105,82
28,1033:51M1I23M,13:46M6D29M,105,171
29,1033:51M1I23M,28:44M9D31M,105,99
30,1202:49M26S,13:46M6D29M,82,171
31,1202:49M26S,28:44M9D31M,82,99
32,1202:49M26S,370:46M6I23M,82,45
33,1202:49M26S,624:43M1I4M3D27M,82,59
34,13:46M6D29M,28:44M9D31M,171,99
35,13:46M6D29M,370:46M6I23M,171,45
36,13:46M6D29M,624:43M1I4M3D27M,171,59
37,28:44M9D31M,370:46M6I23M,99,45
38,28:44M9D31M,624:43M1I4M3D27M,99,59
39,32:75M,664:40M1I1M9D33M,157,40
40,32:75M,901:46M29S,157,1
41,664:40M1I1M9D33M,901:46M29S,40,1
42,244:75M,337:46M8D29M,1,22
43,244:75M,3427:46M8D29M,1,1
44,244:75M,46:46M2D29M,1,23
45,337:46M8D29M,3427:46M8D29M,22,1
46,3427:46M8D29M,46:46M2D29M,1,23
47,11:43M7D32M,34:51M3I21M,33,13
48,13:46M6D29M,34:51M3I21M,171,13
49,103:29S46M,1065:52M7I16M,5,5
50,103:29S46M,1092:53M22S,5,22
51,103:29S46M,11:43M7D32M,5,33
52,103:29S46M,13:46M6D29M,5,171
53,1065:52M7I16M,1092:53M22S,5,22
54,1065:52M7I16M,11:43M7D32M,5,33
55,1065:52M7I16M,13:46M6D29M,5,171
56,1092:53M22S,11:43M7D32M,22,33
57,1092:53M22S,13:46M6D29M,22,171
58,35:43M21D32M,62:75M,36,14
59,1065:52M7I16M,34:51M3I21M,5,13
60,1092:53M22S,34:51M3I21M,22,13
61,122:50M5I20M,28:44M9D31M,2,99
62,122:50M5I20M,361:50M7I18M,2,96
63,122:50M5I20M,6:47M3I25M,2,40
64,122:50M5I20M,779:34S41M,2,78
65,1466:44M31S,97:49M9D26M,53,14
66,44:44M3D31M,97:49M9D26M,86,14
67,1033:51M1I23M,2490:51M1I23M,105,1
68,1202:49M26S,2490:51M1I23M,82,1
69,13:46M6D29M,2490:51M1I23M,171,1
70,2490:51M1I23M,370:46M6I23M,1,45
71,13:46M6D29M,557:45M5D30M,171,57
72,1033:51M1I23M,1967:46M3D29M,105,1
73,1033:51M1I23M,2726:51M1I23M,105,1
74,1202:49M26S,1967:46M3D29M,82,1
75,1202:49M26S,2726:51M1I23M,82,1
76,13:46M6D29M,1967:46M3D29M,171,1
77,13:46M6D29M,2726:51M1I23M,171,1
78,1967:46M3D29M,2726:51M1I23M,1,1
79,1967:46M3D29M,624:43M1I4M3D27M,1,59
80,2726:51M1I23M,624:43M1I4M3D27M,1,59
81,1039:51M24S,3512:30M20D45M,38,1
82,23:30M20D45M,3512:30M20D45M,31,1
83,1041:51M24S,26:49M26S,42,39
84,1041:51M24S,28:44M9D31M,42,99
85,26:49M26S,28:44M9D31M,39,99
86,1879:47M3D28M,337:46M8D29M,1,22
87,1879:47M3D28M,46:46M2D29M,1,23
88,13:46M6D29M,484:47M6D10M1I17M,171,2
89,1039:51M24S,176:22S37M3D16M,38,20
90,1092:53M22S,176:22S37M3D16M,22,20
91,11:43M7D32M,176:22S37M3D16M,33,20
92,370:46M6I23M,557:45M5D30M,45,57
93,2101:75M,32:75M,1,157
94,35:43M21D32M,737:50M8D25M,36,21
95,62:75M,737:50M8D25M,14,21
96,1092:53M22S,2830:53M22S,22,1
97,11:43M7D32M,2830:53M22S,33,1
98,664:40M1I1M9D33M,779:34S41M,40,78
99,139:43M4D32M,44:44M3D31M,6,86
100,139:43M4D32M,47:47M2D28M,6,4
101,44:44M3D31M,47:47M2D28M,86,4
102,1802:38M11D37M,35:43M21D32M,1,36
103,1092:53M22S,65:45M5D30M,22,5
104,11:43M7D32M,65:45M5D30M,33,5
105,13:46M6D29M,65:45M5D30M,171,5
106,34:51M3I21M,65:45M5D30M,13,5
107,28:44M9D31M,709:50M4I21M,99,3
108,1284:48M6I21M,44:44M3D31M,19,86
109,143:46M4I25M,78:46M11D29M,3,1
110,14:44M3D31M,664:40M1I1M9D33M,16,40
111,194:48M3I24M,2232:30S45M,13,1
112,194:48M3I24M,262:45M2I28M,13,17
113,194:48M3I24M,361:50M7I18M,13,96
114,194:48M3I24M,44:44M3D31M,13,86
115,194:48M3I24M,757:30S45M,13,11
116,2232:30S45M,262:45M2I28M,1,17
117,2232:30S45M,361:50M7I18M,1,96
118,2232:30S45M,44:44M3D31M,1,86
119,2232:30S45M,757:30S45M,1,11
120,262:45M2I28M,361:50M7I18M,17,96
121,262:45M2I28M,44:44M3D31M,17,86
122,262:45M2I28M,757:30S45M,17,11
123,361:50M7I18M,44:44M3D31M,96,86
124,361:50M7I18M,757:30S45M,96,11
125,44:44M3D31M,757:30S45M,86,11
126,1033:51M1I23M,2026:46M3D29M,105,1
127,1033:51M1I23M,2529:46M6D29M,105,1
128,1033:51M1I23M,2535:54M21S,105,1
129,1202:49M26S,2026:46M3D29M,82,1
130,1202:49M26S,2529:46M6D29M,82,1
131,1202:49M26S,2535:54M21S,82,1
132,13:46M6D29M,2026:46M3D29M,171,1
133,13:46M6D29M,2529:46M6D29M,171,1
134,13:46M6D29M,2535:54M21S,171,1
135,2026:46M3D29M,2529:46M6D29M,1,1
136,2026:46M3D29M,2535:54M21S,1,1
137,2026:46M3D29M,624:43M1I4M3D27M,1,59
138,2529:46M6D29M,2535:54M21S,1,1
139,2529:46M6D29M,624:43M1I4M3D27M,1,59
140,2535:54M21S,624:43M1I4M3D27M,1,59
141,1220:49M26S,32:75M,6,157
142,28:44M9D31M,3572:26M1I21M3D27M,99,1
143,3572:26M1I21M3D27M,361:50M7I18M,1,96
144,3572:26M1I21M3D27M,6:47M3I25M,1,40
145,3572:26M1I21M3D27M,779:34S41M,1,78
146,1115:50M25S,194:48M3I24M,5,13
147,1115:50M25S,262:45M2I28M,5,17
148,1115:50M25S,35:43M21D32M,5,36
149,1115:50M25S,361:50M7I18M,5,96
150,1115:50M25S,737:50M8D25M,5,21
151,1115:50M25S,757:30S45M,5,11
152,194:48M3I24M,35:43M21D32M,13,36
153,194:48M3I24M,737:50M8D25M,13,21
154,262:45M2I28M,35:43M21D32M,17,36
155,262:45M2I28M,737:50M8D25M,17,21
156,35:43M21D32M,361:50M7I18M,36,96
157,35:43M21D32M,757:30S45M,36,11
158,361:50M7I18M,737:50M8D25M,96,21
159,737:50M8D25M,757:30S45M,21,11
160,1033:51M1I23M,1751:51M1I23M,105,1
161,1033:51M1I23M,3208:44M9D31M,105,1
162,1202:49M26S,1751:51M1I23M,82,1
163,1202:49M26S,3208:44M9D31M,82,1
164,13:46M6D29M,1751:51M1I23M,171,1
165,13:46M6D29M,3208:44M9D31M,171,1
166,1751:51M1I23M,28:44M9D31M,1,99
167,1751:51M1I23M,3208:44M9D31M,1,1
168,1751:51M1I23M,370:46M6I23M,1,45
169,28:44M9D31M,3208:44M9D31M,99,1
170,3208:44M9D31M,370:46M6I23M,1,45
171,32:75M,557:45M5D30M,157,57
172,1033:51M1I23M,44:44M3D31M,105,86
173,1202:49M26S,44:44M3D31M,82,86
174,13:46M6D29M,44:44M3D31M,171,86
175,370:46M6I23M,44:44M3D31M,45,86
176,44:44M3D31M,624:43M1I4M3D27M,86,59
177,1039:51M24S,1369:46M29S,38,2
178,1115:50M25S,46:46M2D29M,5,23
179,2742:47M6D28M,30:30M19D45M,1,3
180,2742:47M6D28M,3453:30M1D13M3D32M,1,1
181,2742:47M6D28M,44:44M3D31M,1,86
182,30:30M19D45M,3453:30M1D13M3D32M,3,1
183,30:30M19D45M,44:44M3D31M,3,86
184,3453:30M1D13M3D32M,44:44M3D31M,1,86
185,219:48M27S,557:45M5D30M,19,57
186,23:30M20D45M,370:46M6I23M,31,45
187,14:44M3D31M,370:46M6I23M,16,45
188,370:46M6I23M,664:40M1I1M9D33M,45,40
189,337:46M8D29M,47:47M2D28M,22,4
190,13:46M6D29M,32:75M,171,157
191,1284:48M6I21M,1956:48M8D27M,19,1
192,1284:48M6I21M,236:39M8D36M,19,1
193,1284:48M6I21M,47:47M2D28M,19,4
194,1956:48M8D27M,236:39M8D36M,1,1
195,1956:48M8D27M,47:47M2D28M,1,4
196,236:39M8D36M,47:47M2D28M,1,4
197,23:30M20D45M,32:75M,31,157
198,23:30M20D45M,664:40M1I1M9D33M,31,40
199,1033:51M1I23M,1466:44M31S,105,53
200,1202:49M26S,1466:44M31S,82,53
201,13:46M6D29M,1466:44M31S,171,53
202,1466:44M31S,624:43M1I4M3D27M,53,59
203,1773:46M11I18M,337:46M8D29M,1,22
204,14:44M3D31M,23:30M20D45M,16,31
205,2780:50M7I18M,28:44M9D31M,1,99
206,2780:50M7I18M,361:50M7I18M,1,96
207,2780:50M7I18M,6:47M3I25M,1,40
208,2780:50M7I18M,779:34S41M,1,78
209,32:75M,97:49M9D26M,157,14
210,139:43M4D32M,13:46M6D29M,6,171
211,1041:51M24S,22:49M2D26M,42,11
212,22:49M2D26M,28:44M9D31M,11,99
213,194:48M3I24M,863:44M31S,13,9
214,194:48M3I24M,86:46M4D29M,13,2
215,262:45M2I28M,863:44M31S,17,9
216,262:45M2I28M,86:46M4D29M,17,2
217,361:50M7I18M,863:44M31S,96,9
218,361:50M7I18M,86:46M4D29M,96,2
219,757:30S45M,863:44M31S,11,9
220,757:30S45M,86:46M4D29M,11,2
221,863:44M31S,86:46M4D29M,9,2
222,370:46M6I23M,432:39M2D5M1I30M,45,12
223,370:46M6I23M,958:48M27S,45,1
224,432:39M2D5M1I30M,958:48M27S,12,1
225,1466:44M31S,28:44M9D31M,53,99
226,1466:44M31S,361:50M7I18M,53,96
227,1466:44M31S,6:47M3I25M,53,40
228,1466:44M31S,779:34S41M,53,78
229,1033:51M1I23M,1380:46M29S,105,6
230,1033:51M1I23M,2312:50M7I18M,105,1
231,1033:51M1I23M,361:50M7I18M,105,96
232,1202:49M26S,1380:46M29S,82,6
233,1202:49M26S,2312:50M7I18M,82,1
234,1202:49M26S,361:50M7I18M,82,96
235,1380:46M29S,13:46M6D29M,6,171
236,1380:46M29S,2312:50M7I18M,6,1
237,1380:46M29S,28:44M9D31M,6,99
238,1380:46M29S,361:50M7I18M,6,96
239,13:46M6D29M,2312:50M7I18M,171,1
240,13:46M6D29M,361:50M7I18M,171,96
241,2312:50M7I18M,28:44M9D31M,1,99
242,2312:50M7I18M,361:50M7I18M,1,96
243,1033:51M1I23M,1220:49M26S,105,6
244,1202:49M26S,1220:49M26S,82,6
245,1220:49M26S,13:46M6D29M,6,171
246,1220:49M26S,28:44M9D31M,6,99
247,1220:49M26S,370:46M6I23M,6,45
248,1220:49M26S,624:43M1I4M3D27M,6,59
249,1257:49M26S,13:46M6D29M,6,171
250,32:75M,3398:75M,157,1
251,32:75M,3385:75M,157,1
252,2256:34S41M,28:44M9D31M,1,99
253,2256:34S41M,361:50M7I18M,1,96
254,2256:34S41M,779:34S41M,1,78
255,1033:51M1I23M,20:45M14D30M,105,11
256,1033:51M1I23M,3183:46M29S,105,1
257,1033:51M1I23M,518:46M3D29M,105,1
258,1202:49M26S,20:45M14D30M,82,11
259,1202:49M26S,3183:46M29S,82,1
260,1202:49M26S,518:46M3D29M,82,1
261,13:46M6D29M,20:45M14D30M,171,11
262,13:46M6D29M,3183:46M29S,171,1
263,13:46M6D29M,518:46M3D29M,171,1
264,20:45M14D30M,3183:46M29S,11,1
265,20:45M14D30M,370:46M6I23M,11,45
266,20:45M14D30M,518:46M3D29M,11,1
267,20:45M14D30M,624:43M1I4M3D27M,11,59
268,3183:46M29S,370:46M6I23M,1,45
269,3183:46M29S,518:46M3D29M,1,1
270,3183:46M29S,624:43M1I4M3D27M,1,59
271,370:46M6I23M,518:46M3D29M,45,1
272,518:46M3D29M,624:43M1I4M3D27M,1,59
273,1033:51M1I23M,3190:46M6I23M,105,1
274,1202:49M26S,3190:46M6I23M,82,1
275,13:46M6D29M,3190:46M6I23M,171,1
276,28:44M9D31M,3190:46M6I23M,99,1
277,3190:46M6I23M,370:46M6I23M,1,45
278,3190:46M6I23M,624:43M1I4M3D27M,1,59
279,1466:44M31S,32:75M,53,157
280,361:50M7I18M,624:43M1I4M3D27M,96,59
281,2216:47M3D28M,46:46M2D29M,1,23
282,1845:47M3D28M,361:50M7I18M,1,96
283,1845:47M3D28M,6:47M3I25M,1,40
284,1845:47M3D28M,779:34S41M,1,78
285,1033:51M1I23M,2991:49M26S,105,1
286,1202:49M26S,2991:49M26S,82,1
287,13:46M6D29M,2991:49M26S,171,1
288,28:44M9D31M,2991:49M26S,99,1
289,2991:49M26S,624:43M1I4M3D27M,1,59
290,2255:37S38M,28:44M9D31M,1,99
291,2255:37S38M,361:50M7I18M,1,96
292,2255:37S38M,6:47M3I25M,1,40
293,2255:37S38M,779:34S41M,1,78
294,1033:51M1I23M,61:46M29S,105,4
295,13:46M6D29M,61:46M29S,171,4
296,1202:49M26S,61:46M29S,82,4
297,1284:48M6I21M,361:50M7I18M,19,96
298,1039:51M24S,14:44M3D31M,38,16
299,1039:51M24S,370:46M6I23M,38,45
300,1039:51M24S,664:40M1I1M9D33M,38,40
301,104:27M22D48M,14:44M3D31M,26,16
302,104:27M22D48M,370:46M6I23M,26,45
303,104:27M22D48M,664:40M1I1M9D33M,26,40
304,14:44M3D31M,432:39M2D5M1I30M,16,12
305,432:39M2D5M1I30M,664:40M1I1M9D33M,12,40
306,1041:51M24S,176:22S37M3D16M,42,20
307,1041:51M24S,44:44M3D31M,42,86
308,176:22S37M3D16M,26:49M26S,20,39
309,176:22S37M3D16M,44:44M3D31M,20,86
310,26:49M26S,44:44M3D31M,39,86
311,1466:44M31S,30:30M19D45M,53,3
312,2150:75M,2470:45M30S,1,1
313,2150:75M,337:46M8D29M,1,22
314,2150:75M,35:43M21D32M,1,36
315,2150:75M,62:75M,1,14
316,2150:75M,737:50M8D25M,1,21
317,2470:45M30S,337:46M8D29M,1,22
318,2470:45M30S,35:43M21D32M,1,36
319,2470:45M30S,62:75M,1,14
320,2470:45M30S,737:50M8D25M,1,21
321,337:46M8D29M,35:43M21D32M,22,36
322,337:46M8D29M,62:75M,22,14
323,337:46M8D29M,737:50M8D25M,22,21
324,1380:46M29S,234:75M,6,1
325,1380:46M29S,2772:54M21S,6,1
326,234:75M,2772:54M21S,1,1
327,234:75M,361:50M7I18M,1,96
328,2772:54M21S,361:50M7I18M,1,96
329,1862:47M3D28M,28:44M9D31M,1,99
330,1862:47M3D28M,361:50M7I18M,1,96
331,1862:47M3D28M,779:34S41M,1,78
332,194:48M3I24M,2473:43M21D32M,13,1
333,2473:43M21D32M,361:50M7I18M,1,96
334,2473:43M21D32M,737:50M8D25M,1,21
335,20:45M14D30M,89:75M,11,8
336,1039:51M24S,1975:47M6D28M,38,1
337,104:27M22D48M,1975:47M6D28M,26,1
338,1975:47M6D28M,432:39M2D5M1I30M,1,12
339,1749:47M3D28M,35:43M21D32M,1,36
340,1749:47M3D28M,62:75M,1,14
